structure,measurement,left_fit_index,right_fit_index,left_resonance_wavelength_nm,right_resonance_wavelength_nm,center_wavelength_nm,sigma_center_wavelength_nm,center_frequency_thz,fsr_nm,sigma_fsr_nm,ng_pair,sigma_ng_pair,ng_fit,sigma_ng_fit
mple 86  Diameter 100 um Coupling Distance 0.14 um,5040,96,29,1555.80802443,1557.70326902,1556.75564672,3.75538330485e-05,192.575153738,1.89524459327,7.51076660969e-05,12.7872051566,0.000506751397871,12.8051433251,0.0461382883975
mple 86  Diameter 100 um Coupling Distance 0.14 um,5040,98,31,1557.70326902,1559.60327865,1558.65327383,3.60240053912e-05,192.340697596,1.90000962788,7.20480107823e-05,12.7862511452,0.00048485261933,12.8051433251,0.0461382883975
mple 86  Diameter 100 um Coupling Distance 0.14 um,5040,100,33,1559.60327865,1561.50639328,1560.55483597,3.84222206192e-05,192.106327244,1.90311463609,7.68444412385e-05,12.7965564968,0.000516702959633,12.8051433251,0.0461382883975
mple 86  Diameter 100 um Coupling Distance 0.14 um,5040,108,40,1567.25116815,1569.17631047,1568.21373931,3.11616754481e-05,191.16811088,1.92514232297,6.23233508962e-05,12.7746104941,0.000413557544706,12.8051433251,0.0461382883975
mple 86  Diameter 100 um Coupling Distance 0.14 um,5040,112,44,1573.03838745,1574.96886212,1574.00362479,4.19026212993e-05,190.464909533,1.93047466728,8.38052425986e-05,12.8335660283,0.000557127706236,12.8051433251,0.0461382883975
mple 86  Diameter 100 um Coupling Distance 0.14 um,5040,113,45,1574.96886212,1576.91402673,1575.94144443,4.18366709553e-05,190.230708799,1.94516461247,8.36733419106e-05,12.7680270366,0.000549230794504,12.8051433251,0.0461382883975
mple 86  Diameter 100 um Coupling Distance 0.14 um,5040,114,47,1576.91402673,1578.84888988,1577.88145831,3.87020613404e-05,189.996819103,1.93486314146,7.74041226808e-05,12.8676279119,0.000514769327602,12.8051433251,0.0461382883975
mple 86  Diameter 100 um Coupling Distance 0.14 um,5040,116,48,1578.84888988,1580.79690505,1579.82289746,4.2946033693e-05,189.763332638,1.94801517612,8.5892067386e-05,12.8122225019,0.00056491814262,12.8051433251,0.0461382883975
mple 86  Diameter 100 um Coupling Distance 0.14 um,5040,121,53,1586.68808008,1588.64478291,1587.66643149,7.08719727607e-05,188.825846572,1.95670282739,0.000141743945521,12.8823072283,0.000933197629783,12.8051433251,0.0461382883975
mple 86  Diameter 100 um Coupling Distance 0.14 um,5040,122,54,1588.64478291,1590.63117894,1589.63798092,7.12759630599e-05,188.591655206,1.98639603006,0.00014255192612,12.7212744697,0.000912931543728,12.8051433251,0.0461382883975
mple 86  Diameter 100 um Coupling Distance 0.14 um,5040,131,63,1606.59604072,1608.61085582,1607.60344827,6.63478650292e-05,186.484084942,2.01481510258,0.000132695730058,12.8269281066,0.000844782195708,12.8051433251,0.0461382883975
