structure,measurement,left_fit_index,right_fit_index,left_resonance_wavelength_nm,right_resonance_wavelength_nm,center_wavelength_nm,sigma_center_wavelength_nm,center_frequency_thz,fsr_nm,sigma_fsr_nm,ng_pair,sigma_ng_pair,ng_fit,sigma_ng_fit
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,65,3,1523.10548297,1523.96905786,1523.53727042,0.000789132506614,196.773957435,0.863574889709,0.00157826501323,26.8785700234,0.049123143799,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,3,66,1523.96905786,1523.96905786,1523.96905786,8.58550593732e-05,196.718205303,0,0.000171710118746,,,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,66,4,1523.96905786,1524.80040704,1524.38473245,0.000809650430787,196.664563491,0.831349178787,0.00161930086157,27.9515379557,0.0544439777893,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,4,67,1524.80040704,1524.80040704,1524.80040704,0.00114179531832,196.610950925,0,0.00228359063663,,,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,67,13,1524.80040704,1538.12102717,1531.4607171,0.00109047289668,195.755891517,13.3206201252,0.00218094579336,1.76070776435,0.000288286386889,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,13,76,1538.12102717,1538.12102717,1538.12102717,0.00103661262189,194.908237196,0,0.00207322524377,,,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,76,14,1538.12102717,1538.73645534,1538.42874125,0.000737676730901,194.869251959,0.615428170603,0.0014753534618,38.4571767262,0.0921926165622,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,14,77,1538.73645534,1538.73645534,1538.73645534,0.000117337934076,194.830282314,0,0.000234675868151,,,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,77,15,1538.73645534,1539.80786017,1539.27215775,0.000607573086875,194.762476856,1.07140483241,0.00121514617375,22.1145052175,0.0250814277629,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,15,78,1539.80786017,1539.80786017,1539.80786017,0.000851188534354,194.694718578,0,0.00170237706871,,,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,78,21,1539.80786017,1545.01943738,1542.41364878,0.00124822577994,194.365796904,5.21157721474,0.00249645155989,4.56491339552,0.00218669891081,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,21,84,1545.01943738,1545.01943738,1545.01943738,0.00154648416559,194.037984731,0,0.00309296833118,,,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,84,23,1545.01943738,1546.72965496,1545.87454617,0.00148517103031,193.93065158,1.71021757968,0.00297034206062,13.9732402526,0.024269034033,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,23,86,1546.72965496,1546.72965496,1546.72965496,0.0014212152209,193.823437107,0,0.00284243044181,,,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,86,29,1546.72965496,1557.51264522,1552.12115009,0.00100818929724,193.150166134,10.7829902578,0.00201637859447,2.23414841985,0.000417787427663,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,29,92,1557.51264522,1557.51264522,1557.51264522,0.000114186750522,192.481556358,0,0.000228373501045,,,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,92,32,1557.51264522,1561.30296866,1559.40780694,0.000102205039824,192.247631868,3.79032343464,0.000204410079647,6.41568655097,0.000345995505498,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,32,95,1561.30296866,1561.30296866,1561.30296866,8.86178669111e-05,192.014275268,0,0.000177235733822,,,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,95,35,1561.30296866,1567.04301242,1564.17299054,9.39175775692e-05,191.661957989,5.74004375822,0.000187835155138,4.26240155542,0.000139482255195,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,35,98,1567.04301242,1567.04301242,1567.04301242,9.89337981535e-05,191.310931241,0,0.000197867596307,,,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,98,37,1567.04301242,1570.88771333,1568.96536287,0.000109439706869,191.076530492,3.84470091832,0.000218879413739,6.40271470316,0.000364508625758,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,37,100,1570.88771333,1570.88771333,1570.88771333,0.000119021857078,190.842703432,0,0.000238043714156,,,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,100,38,1570.88771333,1572.81622094,1571.85196713,0.000124407955295,190.725630828,1.9285076017,0.000248815910589,12.8115575194,0.00165294746397,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,38,101,1572.81622094,1572.81622094,1572.81622094,0.000129570352392,190.608701773,0,0.000259140704784,,,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,101,44,1572.81622094,1582.55010855,1577.68316474,0.000110045416514,190.020699149,9.73388761586,0.000220090833027,2.55713263451,5.78198748019e-05,3.77574499629,4.50441127724e-05
